                                                                09.04.2015 10:05
________________________________________________________________________________



Curve Name:
  PUL10 - minus baseline - 7deg per min, 7.20mg, 09.04.2015 10:05:16
  Performed 07.04.2015 16:05:32
Curve Values:
          Index              t             Ts          Value
                           [s]           [°C]           [mW]
              0              0        9.99992              0
              3              3        10.3418              0
              6              6        10.6743              0
              9              9        11.0163              0
             12             12        11.3634              0
             15             15        11.7126              0
             18             18        12.0626              0
             21             21        12.4127              0
             24             24        12.7627              0
             27             27        13.1128              0
             30             30        13.4629              0
             33             33        13.8129              0
             36             36        14.1629              0
             39             39        14.5129              0
             42             42        14.8629              0
             45             45        15.2129              0
             48             48        15.5629              0
             51             51        15.9128              0
             54             54        16.2628              0
             57             57        16.6127              0
             60             60        16.9627              0
             63             63        17.3127              0
             66             66        17.6626              0
             69             69        18.0125              0
             72             72        18.3624              0
             75             75        18.7123              0
             78             78        19.0623              0
             81             81        19.4122              0
             84             84        19.7622              0
             87             87        20.1121              0
             90             90        20.4621              0
             93             93         20.812              0
             96             96         21.162              0
             99             99         21.512              0
            102            102        21.8619              0
            105            105        22.2119              0
            108            108        22.5619              0
            111            111        22.9118              0
            114            114        23.2618              0
            117            117        23.6118              0
            120            120        23.9617              0
            123            123        24.3117              0
            126            126        24.6616              0
            129            129        25.0116              0
            132            132        25.3616              0
            135            135        25.7115              0
            138            138        26.0615              0
            141            141        26.4115              0
            144            144        26.7614              0
            147            147        27.1114              0
            150            150        27.4613              0
            153            153        27.8113              0
            156            156        28.1613              0
            159            159        28.5112              0
            162            162        28.8611              0
            165            165        29.2111              0
            168            168         29.561              0
            171            171        29.9109              0
            174            174        30.2609              0
            177            177        30.6109              0
            180            180        30.9609              0
            183            183        31.3108              0
            186            186        31.6607              0
            189            189        32.0106              0
            192            192        32.3605              0
            195            195        32.7105              0
            198            198        33.0605              0
            201            201        33.4104              0
            204            204        33.7604              0
            207            207        34.1104              0
            210            210        34.4604              0
            213            213        34.8103              0
            216            216        35.1603              0
            219            219        35.5103              0
            222            222        35.8603              0
            225            225        36.2102              0
            228            228        36.5602              0
            231            231        36.9101              0
            234            234          37.26              0
            237            237          37.61              0
            240            240        37.9599              0
            243            243        38.3099              0
            246            246        38.6598              0
            249            249        39.0098              0
            252            252        39.3597              0
            255            255        39.7097              0
            258            258        40.0596              0
            261            261        40.4096              0
            264            264        40.7595              0
            267            267        41.1095              0
            270            270        41.4594              0
            273            273        41.8094              0
            276            276        42.1593              0
            279            279        42.5093              0
            282            282        42.8592              0
            285            285        43.2091              0
            288            288        43.5591              0
            291            291        43.9091              0
            294            294         44.259              0
            297            297         44.609              0
            300            300        44.9589              0
            303            303        45.3089              0
            306            306        45.6588              0
            309            309        46.0088              0
            312            312        46.3587              0
            315            315        46.7087              0
            318            318        47.0586              0
            321            321        47.4086              0
            324            324        47.7585              0
            327            327        48.1085              0
            330            330        48.4585              0
            333            333        48.8084              0
            336            336        49.1584              0
            339            339        49.5083              0
            342            342        49.8583              0
            345            345        50.2083              0
            348            348        50.5582              0
            351            351        50.9082              0
            354            354        51.2581              0
            357            357        51.6081              0
            360            360         51.958              0
            363            363         52.308              0
            366            366         52.658              0
            369            369        53.0079              0
            372            372        53.3579              0
            375            375        53.7079              0
            378            378        54.0579              0
            381            381        54.4078              0
            384            384        54.7578              0
            387            387        55.1077              0
            390            390        55.4577              0
            393            393        55.8077              0
            396            396        56.1576              0
            399            399        56.5076              0
            402            402        56.8575              0
            405            405        57.2075              0
            408            408        57.5575              0
            411            411        57.9074              0
            414            414        58.2574              0
            417            417        58.6074              0
            420            420        58.9574              0
            423            423        59.3074              0
            426            426        59.6573              0
            429            429        60.0073              0
            432            432        60.3573              0
            435            435        60.7073              0
            438            438        61.0572              0
            441            441        61.4072              0
            444            444        61.7572              0
            447            447        62.1072              0
            450            450        62.4572              0
            453            453        62.8072              0
            456            456        63.1572              0
            459            459        63.5072              0
            462            462        63.8571              0
            465            465        64.2071              0
            468            468        64.5571              0
            471            471        64.9071              0
            474            474        65.2571              0
            477            477        65.6071              0
            480            480        65.9571              0
            483            483        66.3071              0
            486            486        66.6571              0
            489            489         67.007              0
            492            492         67.357              0
            495            495         67.707              0
            498            498         68.057              0
            501            501         68.407              0
            504            504        68.7571              0
            507            507        69.1071              0
            510            510        69.4571              0
            513            513        69.8071              0
            516            516        70.1571              0
            519            519        70.5071              0
            522            522        70.8571              0
            525            525        71.2071              0
            528            528        71.5571              0
            531            531        71.9071              0
            534            534        72.2571              0
            537            537        72.6072              0
            540            540        72.9572              0
            543            543        73.3072              0
            546            546        73.6572              0
            549            549        74.0073              0
            552            552        74.3573              0
            555            555        74.7073              0
            558            558        75.0573              0
            561            561        75.4074              0
            564            564        75.7574              0
            567            567        76.1074              0
            570            570        76.4575              0
            573            573        76.8075              0
            576            576        77.1576              0
            579            579        77.5076              0
            582            582        77.8577              0
            585            585        78.2077              0
            588            588        78.5578              0
            591            591        78.9079              0
            594            594        79.2579              0
            597            597        79.6079              0
            600            600         79.958  -1.53184e-005
            603            603        80.3081  -5.74589e-005
            606            606        80.6581    -0.00010711
            609            609        81.0082  -3.01003e-005
            612            612        81.3582    4.6134e-005
            615            615        81.7083    0.000203729
            618            618        82.0584    0.000133932
            621            621        82.4084   -0.000190794
            624            624        82.7585   -0.000490665
            627            627        83.1085   -0.000574827
            630            630        83.4586   -0.000554144
            633            633        83.8087   -0.000640273
            636            636        84.1588    -0.00063616
            639            639        84.5089   -0.000488639
            642            642        84.8589   -0.000540853
            645            645         85.209    -0.00088352
            648            648        85.5591    -0.00115389
            651            651        85.9091    -0.00128204
            654            654        86.2592    -0.00142211
            657            657        86.6093     -0.0013501
            660            660        86.9594    -0.00118476
            663            663        87.3095    -0.00144804
            666            666        87.6596    -0.00191975
            669            669        88.0097    -0.00245166
            672            672        88.3598    -0.00261426
            675            675        88.7099    -0.00289601
            678            678          89.06    -0.00304854
            681            681        89.4101    -0.00318789
            684            684        89.7602    -0.00319964
            687            687        90.1103    -0.00338095
            690            690        90.4604     -0.0033915
            693            693        90.8105    -0.00341195
            696            696        91.1606    -0.00352788
            699            699        91.5107    -0.00354266
            702            702        91.8608    -0.00369477
            705            705        92.2109    -0.00413924
            708            708        92.5611    -0.00436473
            711            711        92.9112    -0.00448364
            714            714        93.2613    -0.00436008
            717            717        93.6115    -0.00421864
            720            720        93.9616    -0.00421751
            723            723        94.3117    -0.00406283
            726            726        94.6619    -0.00388998
            729            729         95.012     -0.0033778
            732            732        95.3622    -0.00266117
            735            735        95.7124    -0.00209504
            738            738        96.0625    -0.00156891
            741            741        96.4127    -0.00106943
            744            744        96.7629   -0.000641823
            747            747         97.113    -0.00034076
            750            750        97.4632   -0.000131726
            753            753        97.8134    0.000249207
            756            756        98.1636     0.00107366
            759            759        98.5137     0.00187576
            762            762        98.8639     0.00257546
            765            765        99.2141     0.00322849
            768            768        99.5643      0.0041244
            771            771        99.9145     0.00510675
            774            774        100.265     0.00619328
            777            777        100.615     0.00731659
            780            780        100.965     0.00876009
            783            783        101.315     0.00995624
            786            786        101.666      0.0107715
            789            789        102.016      0.0118015
            792            792        102.366      0.0130498
            795            795        102.716      0.0144722
            798            798        103.067      0.0162029
            801            801        103.417       0.018313
            804            804        103.767      0.0202677
            807            807        104.117      0.0222055
            810            810        104.468      0.0243205
            813            813        104.818      0.0268077
            816            816        105.168       0.029262
            819            819        105.519      0.0317552
            822            822        105.869      0.0341365
            825            825        106.219      0.0365822
            828            828        106.569      0.0394527
            831            831         106.92      0.0427004
            834            834         107.27      0.0461405
            837            837         107.62      0.0493996
            840            840        107.971      0.0528458
            843            843        108.321      0.0563772
            846            846        108.672      0.0598733
            849            849        109.022      0.0635009
            852            852        109.372      0.0672982
            855            855        109.723      0.0718637
            858            858        110.073      0.0769584
            861            861        110.424      0.0821171
            864            864        110.774      0.0872445
            867            867        111.124      0.0923718
            870            870        111.475      0.0977044
            873            873        111.825       0.103426
            876            876        112.176       0.109524
            879            879        112.526       0.116014
            882            882        112.877       0.122328
            885            885        113.227       0.129057
            888            888        113.578        0.13617
            891            891        113.929       0.143876
            894            894        114.279       0.152362
            897            897         114.63       0.160666
            900            900         114.98       0.168848
            903            903        115.331       0.177443
