          Index              t             Ts          Value
                           [s]           [°C]           [mW]
              0              0       -50.0001              0
              1              1       -49.4998              0
              2              2       -49.0049              0
              3              3       -48.5173              0
              4              4       -48.0393              0
              5              5       -47.5576              0
              6              6       -47.0703              0
              7              7       -46.5795              0
              8              8        -46.084              0
              9              9       -45.5874              0
             10             10         -45.09              0
             11             11       -44.5921              0
             12             12       -44.0935              0
             13             13       -43.5946              0
             14             14       -43.0956              0
             15             15       -42.5965              0
             16             16       -42.0975              0
             17             17       -41.5985              0
             18             18       -41.0996              0
             19             19       -40.6008              0
             20             20       -40.1022              0
             21             21       -39.6037              0
             22             22       -39.1053              0
             23             23       -38.6068              0
             24             24       -38.1084              0
             25             25       -37.6106              0
             26             26       -37.1132              0
             27             27       -36.6163              0
             28             28       -36.1204              0
             29             29       -35.6252              0
             30             30       -35.1311              0
             31             31       -34.6378              0
             32             32       -34.1465              0
             33             33       -33.6561              0
             34             34       -33.1664              0
             35             35       -32.6769              0
             36             36       -32.1848              0
             37             37         -31.69              0
             38             38       -31.1921              0
             39             39       -30.6922              0
             40             40       -30.1894              0
             41             41       -29.6864              0
             42             42       -29.1834              0
             43             43       -28.6808              0
             44             44       -28.1791              0
             45             45       -27.6779              0
             46             46       -27.1771              0
             47             47       -26.6766              0
             48             48       -26.1764              0
             49             49       -25.6762              0
             50             50       -25.1761              0
             51             51       -24.6759              0
             52             52       -24.1761              0
             53             53       -23.6763              0
             54             54       -23.1766              0
             55             55        -22.677              0
             56             56       -22.1774              0
             57             57        -21.678              0
             58             58       -21.1785              0
             59             59       -20.6791              0
             60             60       -20.1797              0
             61             61       -19.6803              0
             62             62       -19.1808              0
             63             63       -18.6814              0
             64             64        -18.182              0
             65             65       -17.6826              0
             66             66       -17.1832              0
             67             67       -16.6838              0
             68             68       -16.1844              0
             69             69       -15.6851              0
             70             70       -15.1857              0
             71             71       -14.6863              0
             72             72       -14.1869              0
             73             73       -13.6876              0
             74             74       -13.1882              0
             75             75       -12.6888              0
             76             76       -12.1895              0
             77             77       -11.6901              0
             78             78       -11.1908              0
             79             79       -10.6914              0
             80             80       -10.1921              0
             81             81       -9.69272              0
             82             82       -9.19337              0
             83             83       -8.69402              0
             84             84       -8.19467              0
             85             85       -7.69531              0
             86             86       -7.19595              0
             87             87       -6.69659              0
             88             88       -6.19723              0
             89             89       -5.69786              0
             90             90       -5.19848              0
             91             91       -4.69912              0
             92             92       -4.19975              0
             93             93       -3.70038              0
             94             94       -3.20101              0
             95             95       -2.70165              0
             96             96        -2.2023              0
             97             97       -1.70295              0
             98             98       -1.20361              0
             99             99      -0.704281              0
            100            100       -0.20497              0
            101            101       0.294328              0
            102            102       0.793613              0
            103            103        1.29291              0
            104            104         1.7922              0
            105            105        2.29148              0
            106            106        2.79076              0
            107            107        3.29004              0
            108            108        3.78932              0
            109            109        4.28861              0
            110            110         4.7879              0
            111            111        5.28719              0
            112            112        5.78648              0
            113            113        6.28577              0
            114            114        6.78508              0
            115            115        7.28438              0
            116            116        7.78367              0
            117            117        8.28297              0
            118            118        8.78227              0
            119            119        9.28156              0
            120            120        9.78086              0
            121            121        10.2802              0
            122            122        10.7795              0
            123            123        11.2788              0
            124            124        11.7781              0
            125            125        12.2774              0
            126            126        12.7766              0
            127            127        13.2759              0
            128            128        13.7752              0
            129            129        14.2745              0
            130            130        14.7738              0
            131            131        15.2731              0
            132            132        15.7724              0
            133            133        16.2717              0
            134            134         16.771              0
            135            135        17.2702              0
            136            136        17.7695              0
            137            137        18.2688              0
            138            138        18.7681              0
            139            139        19.2674              0
            140            140        19.7666              0
            141            141        20.2659              0
            142            142        20.7652              0
            143            143        21.2644              0
            144            144        21.7637              0
            145            145        22.2629              0
            146            146        22.7622              0
            147            147        23.2614              0
            148            148        23.7607              0
            149            149        24.2599              0
            150            150        24.7591              0
            151            151        25.2584              0
            152            152        25.7576              0
            153            153        26.2568              0
            154            154        26.7561              0
            155            155        27.2553              0
            156            156        27.7545              0
            157            157        28.2538              0
            158            158         28.753              0
            159            159        29.2522              0
            160            160        29.7514              0
            161            161        30.2506              0
            162            162        30.7498              0
            163            163        31.2491              0
            164            164        31.7483              0
            165            165        32.2475              0
            166            166        32.7467              0
